letter,DE,EN,FR,ES,IT,SE,PT
A,6.51,8.17,7.94,12.53,11.74,9.30,13.5
B,1.89,1.49,0.90,1.42,0.92,1.30,0.5
C,3.06,2.78,3.26,4.68,4.50,1.30,3.5
D,5.08,4.25,3.67,5.86,3.73,4.50,5
E,17.41,12.70,17.11,13.68,11.79,9.90,13
F,1.66,2.23,1.07,0.69,0.95,2.00,1
G,3.01,2.02,0.87,1.01,1.64,3.30,1
H,4.76,6.09,0.74,0.70,1.54,2.10,1
I,7.55,6.98,7.58,6.25,11.28,5.10,6
J,0.27,0.15,0.55,0.44,0,0.70,0.5
K,1.21,0.77,0.05,0,0,3.20,0
L,3.44,4.03,5.46,4.97,6.51,5.20,3.5
M,2.53,2.41,2.97,3.15,2.51,3.50,4.5
N,9.78,6.75,7.10,6.71,6.88,8.80,5.5
O,2.51,7.51,5.38,8.68,9.83,4.10,11.5
P,0.79,1.93,3.02,2.51,3.05,1.70,3
Q,0.02,0.10,1.36,0.88,0.51,7.00,1.5
R,7.00,5.99,6.55,6.87,6.37,8.30,7.5
S,7.89,6.33,7.95,7.98,4.98,6.30,7.5
T,6.15,9.06,7.24,4.63,5.62,8.70,4.5
U,4.35,2.76,6.37,3.93,3.01,1.80,4
V,0.67,0.98,1.63,0.90,2.10,2.40,1.5
W,1.89,2.36,0.11,0.02,0,0.03,0
X,0.03,0.15,0.39,0.22,0,0.10,0.2
Y,0.04,1.97,0.31,0.90,0,0.60,0
Z,1.13,0.07,0.14,0.52,0.49,0.02,0.3
